benefitamount (DEV Raw),benefitamount (QA Raw),,benefittyperaw (DEV Raw),benefittyperaw (QA Raw),termcode (DEV Raw),termcode (QA Raw),recordactivitydate (DEV Raw),recordactivitydate (QA Raw),personid (DEV Raw),personid (QA Raw)
250.0,75.0,,FFPG,FSEG,200320,200510.0,07/20/05,10/05/08,399,691.0
1200.0,750.0,,FFPG,FSEG,199910,200510.0,10/14/04,09/25/09,30574,38804.0
250.0,166.0,,FFPG,FSEG,200510,200710.0,12/04/02,11/23/04,1735,30500.0
1475.0,750.0,,FFPG,NAVP,200320,200620.0,10/11/05,10/14/15,2092,31246.0
125.0,500.0,,FFPG,FSEG,200510,200720.0,07/15/04,03/12/07,30117,34533.0
1500.0,125.0,,FFPG,FSEG,200610,201110.0,09/08/04,01/01/08,908,2292.0
1013.0,380.25,,FFPG,FSEG,200320,200510.0,02/15/02,02/06/08,30500,37130.0
2000.0,1000.0,,FFPG,FSEG,200510,200810.0,10/28/04,12/31/09,3403,33699.0
-368.0,250.0,,FFPG,FSEG,200720,200710.0,04/23/98,08/05/99,30402,36427.0
1250.0,2000.0,,FFPG,FSEG,200510,200810.0,07/21/05,07/19/11,30587,39115.0
1250.0,750.0,,FFPG,ARMP,201310,201610.0,04/26/98,02/15/02,2788,32525.0
1650.0,750.0,,FFPG,FSEG,200820,200910.0,01/23/00,07/15/04,911,2560.0
750.0,62.0,,FFPG,FSEG,200720,200810.0,05/03/01,08/03/04,2560,32133.0
500.0,300.0,,FFPG,FSEG,200420,200720.0,06/24/98,08/05/99,30682,39770.0
2000.0,-312.0,,FFPG,FSEG,199910,200720.0,08/05/99,09/20/05,897,1938.0
600.0,1000.0,,FFPG,FSEG,200310,200510.0,08/05/99,06/08/04,1196,2849.0
1200.0,250.0,,FFPG,FSEG,200620,201210.0,06/17/04,11/15/06,804,1538.0
1075.0,600.0,,FFPG,FSEG,199610,199810.0,07/15/04,07/23/08,895,1927.0
750.0,1274.5,,FFPG,FSEG,200610,200810.0,08/05/04,10/05/08,30410,36489.0
100.0,188.0,,FFPG,FSEG,200810,200910.0,07/14/04,01/03/08,30824,40910.0
456.0,750.0,,FFPG,FSEG,200610,200910.0,10/10/03,11/29/06,30117,34533.0
925.0,600.0,,FFPG,FSEG,200510,200710.0,07/26/06,06/19/14,30229,35508.0
1575.0,250.0,,FFPG,FSEG,199910,200310.0,07/06/05,10/06/08,2994,32833.0
-150.0,300.0,,FSEG,NAVP,200310,200610.0,04/01/03,08/16/05,1489,3571.0
1100.0,500.0,,FFPG,FSEG,199910,200510.0,06/29/05,09/01/11,2293,31943.0
-918.0,1500.0,,FFPG,FSEG,200320,201310.0,07/08/04,12/13/06,1938,30831.0
240.0,28686.0,,FFPG,NAVP,201120,201420.0,07/15/04,04/04/07,691,905.0
1288.0,750.0,,FFPG,FSEG,200120,199810.0,04/01/03,07/26/06,2922,32794.0
1100.0,250.0,,FFPG,FSEG,199810,199910.0,09/21/05,10/14/09,30080,34429.0
2025.0,2000.0,,FFPG,FSEG,200610,201410.0,10/10/03,09/19/06,215,516.0
850.0,300.0,,FFPG,FSEG,200610,201420.0,02/03/03,06/29/05,3143,33503.0
795.0,600.0,,FSEG,NAVP,200420,200210.0,02/21/10,12/04/08,918,2788.0
1550.0,1000.0,,FSEG,ARMP,200610,201220.0,06/22/03,10/26/04,2255,31619.0
1750.0,1000.0,,FFPG,FSEG,200810,201010.0,03/24/98,08/05/99,914,2723.0
900.0,3395.0,,FFPG,FSEG,200810,200710.0,08/05/04,05/04/07,3412,33729.0
1600.0,500.0,,FFPG,FSEG,200510,200810.0,06/27/01,04/14/98,1938,30839.0
1325.0,750.0,,FFPG,FSEG,200110,200510.0,08/04/04,04/03/07,2923,32801.0
1500.0,1485.0,,FFPG,FSEG,200410,200620.0,02/14/02,12/31/09,30831,65683.0
1238.0,1500.0,,FFPG,FSEG,199920,200310.0,04/06/05,12/01/08,3139,33253.0
600.0,375.0,,FFPG,FSEG,200510,200810.0,01/03/08,11/17/10,548,781.0
1150.0,-150.0,,FFPG,FSEG,200610,201610.0,08/04/04,10/05/08,1489,3493.0
1125.0,250.0,,FFPG,FSEG,200210,200510.0,02/07/03,10/03/05,30068,34325.0
250.0,1000.0,,FFPG,FSEG,200610,201110.0,05/14/03,03/24/05,3493,34275.0
