benefitamount (DEV Raw),benefitamount (QA Raw),,benefittyperaw (DEV Raw),benefittyperaw (QA Raw),termcode (DEV Raw),termcode (QA Raw),recordactivitydate (DEV Raw),recordactivitydate (QA Raw),personid (DEV Raw),personid (QA Raw)
425.0,600.0,,FFPG,FSEG,200310,200810.0,04/21/09,11/11/08,900,2091.0
600.0,2000.0,,FFPG,FSEG,200610,201010.0,01/22/98,04/26/98,30109,34519.0
1150.0,630.0,,FFPG,FSEG,200510,200810.0,09/09/04,09/14/07,1199,2853.0
1350.0,600.0,,FFPG,FSEG,200510,200910.0,05/03/01,08/03/04,3488,34231.0
500.0,600.0,,FFPG,FSEG,200110,199810.0,01/03/08,10/05/09,3442,33827.0
700.0,3588.75,,FFPG,FSEG,200920,200910.0,03/12/98,08/05/99,2635,32172.0
200.0,1000.0,,FFPG,FSEG,200510,200910.0,04/16/04,02/15/07,2728,32293.0
1325.0,750.0,,FFPG,FSEG,199910,200910.0,02/06/98,06/27/01,1922,30624.0
1100.0,500.0,,FSEG,NAVP,200220,200510.0,08/05/99,05/11/03,30006,34314.0
525.0,600.0,,FFPG,FSEG,200010,200510.0,11/23/04,09/25/08,30806,39822.0
1400.0,500.0,,FFPG,FSEG,200510,200810.0,08/14/06,04/04/11,3139,33314.0
-375.0,1000.0,,FFPG,FSEG,200610,201210.0,01/03/08,11/17/10,3119,33077.0
1400.0,150.0,,FSEG,NAVP,200810,201110.0,10/14/04,07/20/08,2113,31339.0
1100.0,750.0,,FFPG,FSEG,200610,201410.0,05/11/03,10/11/05,3109,33047.0
512.0,1000.0,,FFPG,FSEG,200610,201410.0,10/10/03,01/16/07,3403,33699.0
965.0,750.0,,FFPG,FSEG,200510,200810.0,07/14/04,03/08/07,1922,30662.0
300.0,-500.0,,FFPG,FSEG,200620,200910.0,05/24/04,11/29/06,30117,34555.0
1480.0,-42.0,,FFPG,FSEG,200210,199910.0,02/06/03,07/10/05,3139,33501.0
750.0,125.0,,FFPG,FSEG,200410,200710.0,02/06/13,07/17/15,1196,2836.0
-62.0,-500.0,,FFPG,FSEG,200610,201310.0,02/07/03,11/10/05,1938,30831.0
700.0,450.0,,FFPG,FSEG,199910,200510.0,05/24/04,07/06/06,2740,32293.0
-62.0,1250.0,,FFPG,NAVP,199810,199910.0,06/27/01,04/23/98,30621,39181.0
500.0,250.0,,FFPG,NAVP,200110,200420.0,03/27/03,08/10/05,2860,32693.0
-62.0,250.0,,FSEG,NAVP,200510,200710.0,05/11/03,07/26/06,2801,32583.0
975.0,250.0,,FFPG,NAVP,200710,201110.0,02/10/98,08/05/99,2875,32747.0
1238.0,300.0,,FFPG,FSEG,200920,200910.0,07/01/04,12/06/06,1296,3062.0
250.0,-187.0,,FFPG,FSEG,199910,200510.0,06/29/04,12/13/06,895,1923.0
1950.0,300.0,,FFPG,FSEG,200610,200910.0,09/12/05,10/04/12,30117,34532.0
1125.0,500.0,,FFPG,FSEG,200110,200610.0,03/24/05,11/19/08,30500,37132.0
1975.0,99.0,,FFPG,FSEG,200920,200910.0,07/15/04,04/21/09,1131,2789.0
1600.0,750.0,,FSEG,NAVP,200510,200910.0,10/03/05,11/13/08,2040,30946.0
1175.0,500.0,,FFPG,FSEG,200610,201110.0,07/26/06,03/06/08,2230,31524.0
1050.0,681.0,,FFPG,FSEG,200510,200910.0,04/16/04,09/19/06,30668,39756.0
1325.0,750.0,,FFPG,FSEG,200510,200910.0,07/01/04,12/03/08,2924,32818.0
1300.0,500.0,,FFPG,FSEG,200410,200710.0,08/05/04,05/16/07,30824,42714.0
1050.0,167.0,,FFPG,ARMP,200610,201010.0,02/14/02,03/23/05,218,521.0
1000.0,150.0,,FFPG,FSEG,200610,201120.0,03/23/05,01/01/08,30007,34317.0
1430.0,750.0,,FFPG,FSEG,200620,200910.0,10/11/04,02/19/09,3139,33286.0
1023.0,-375.0,,FFPG,FSEG,199610,199810.0,11/17/05,04/18/14,1572,30229.0
300.0,500.0,,FFPG,NAVP,200610,201010.0,08/01/04,07/23/08,30485,37086.0
1000.0,250.0,,FFPG,FSEG,200010,200410.0,11/19/04,06/04/08,30624,39446.0
1391.0,-717.75,,FSEG,NAVP,200610,201410.0,02/14/11,05/09/14,30126,35410.0
300.0,-3646.58,,FFPG,FSEG,200510,200810.0,12/11/07,12/09/08,3173,33517.0
950.0,500.0,,FFPG,FSEG,199610,199810.0,08/04/99,03/26/03,2201,31521.0
1095.0,600.0,,FFPG,FSEG,200510,200910.0,10/04/05,10/26/13,2855,32625.0
600.0,1000.0,,FFPG,FSEG,201320,201610.0,11/30/05,01/25/14,1544,30081.0
875.0,250.0,,FFPG,FSEG,200610,200720.0,11/11/04,02/19/09,914,2635.0
600.0,750.0,,FFPG,NAVP,199910,200310.0,09/14/04,01/03/08,889,1865.0
1650.0,750.0,,FFPG,FSEG,200410,200710.0,02/05/03,03/15/06,1195,2790.0
-700.0,250.0,,FFPG,FSEG,200410,200610.0,05/08/09,01/01/08,30662,39726.0
750.0,1500.0,,FFPG,FSEG,199810,199910.0,06/08/04,11/06/06,3139,33159.0
2000.0,125.0,,FFPG,FSEG,200310,200610.0,04/17/04,09/19/06,2291,31842.0
281.0,-500.0,,FFPG,NAVP,200610,200920.0,07/15/04,03/28/07,1483,3438.0
1300.0,188.0,,FFPG,FSEG,199910,200410.0,08/15/01,07/15/04,804,1538.0
-369.0,-375.0,,FFPG,FSEG,199910,200410.0,10/27/05,09/29/09,3071,32925.0
1000.0,10000.0,,FFPG,FSEG,200620,201110.0,05/24/04,09/05/07,804,1476.0
825.0,2000.0,,FFPG,FSEG,200510,200710.0,07/26/06,06/19/14,881,1556.0
585.0,600.0,,FFPG,FSEG,200320,201120.0,05/14/03,12/11/07,1476,3402.0
1225.0,250.0,,FFPG,FSEG,200510,200810.0,08/06/99,07/14/04,30824,42714.0
600.0,113.0,,FFPG,FSEG,200310,200510.0,12/04/02,12/09/04,2844,32616.0
1150.0,150.0,,FFPG,FSEG,200110,200510.0,08/05/99,01/03/08,3595,34310.0
550.0,450.0,,FFPG,FSEG,200120,199810.0,06/16/04,12/07/06,2781,32414.0
600.0,2000.0,,FFPG,FSEG,200510,200810.0,02/06/98,08/04/99,3469,34223.0
600.0,500.0,,FFPG,NAVP,200310,200510.0,11/18/04,09/25/08,2829,32584.0
600.0,2000.0,,FFPG,FSEG,199910,200510.0,08/05/99,03/27/03,3493,34287.0
300.0,1500.0,,FFPG,FSEG,199810,199910.0,09/23/04,09/19/07,1362,3139.0
750.0,1000.0,,FFPG,NAVP,200710,200920.0,02/10/98,08/04/99,691,904.0
-250.0,375.0,,FSEG,NAVP,200510,200910.0,07/01/04,12/06/06,30806,40524.0
500.0,600.0,,FFPG,FSEG,200510,200720.0,06/10/04,12/07/06,30117,34548.0
300.0,500.0,,FFPG,FSEG,199810,199910.0,03/26/03,03/22/06,881,1569.0
1680.0,450.0,,FFPG,FSEG,200810,201110.0,08/14/06,12/03/08,2789,32540.0
500.0,125.0,,FFPG,FSEG,200610,201210.0,02/14/02,09/24/06,30117,34533.0
600.0,450.0,,FFPG,FSEG,200910,200920.0,10/10/03,01/11/06,30662,39521.0
-37.0,1250.0,,FFPG,FSEG,200110,200510.0,06/18/04,12/03/08,765,1277.0
1013.0,1485.0,,FFPG,FSEG,200520,200810.0,10/13/05,10/14/15,2635,32172.0
750.0,250.0,,FFPG,FSEG,200530,200710.0,10/05/95,06/24/98,1927,30824.0
1350.0,500.0,,FFPG,ARMY,200210,200920.0,04/23/98,05/03/01,3136,33089.0
750.0,3904.58,,FFPG,FSEG,200510,200910.0,07/26/05,01/01/08,30484,36961.0
195.0,600.0,,FFPG,FSEG,200610,201010.0,10/31/01,08/06/99,3333,33649.0
500.0,300.0,,FFPG,FSEG,199810,199910.0,12/18/07,07/13/07,620,804.0
1500.0,250.0,,FFPG,FSEG,200410,200610.0,11/18/04,02/19/09,2293,31885.0
215.0,-500.0,,FFPG,FSEG,200610,201310.0,11/24/07,11/16/07,2929,32832.0
1500.0,200.0,,FFPG,FSEG,199910,200410.0,08/05/04,05/18/07,1735,30485.0
94.0,200.0,,FFPG,FSEG,200210,200510.0,07/14/04,03/14/07,30402,36434.0
600.0,250.0,,FFPG,FSEG,199810,200210.0,03/13/03,07/21/05,624,881.0
1150.0,450.0,,FFPG,FSEG,200510,200810.0,09/18/07,10/15/09,2849,32621.0
300.0,1000.0,,FFPG,FSEG,200210,200710.0,06/27/06,11/18/10,30400,36416.0
1650.0,-258.0,,FFPG,FSEG,200510,200710.0,02/15/02,11/24/07,2059,31090.0
750.0,1000.0,,FFPG,FSEG,200610,200920.0,02/18/09,01/01/08,1476,3332.0
1175.0,600.0,,FFPG,FSEG,200510,200710.0,06/28/05,02/16/11,1538,30007.0
1100.0,250.0,,FFPG,FSEG,199810,199910.0,04/23/98,08/04/99,1489,3488.0
600.0,2000.0,,FFPG,NAVP,200620,201210.0,11/28/07,10/13/15,1927,30824.0
1388.0,600.0,,FFPG,NAVP,199810,199910.0,08/06/99,06/25/03,911,2498.0
1000.0,-375.0,,FFPG,FSEG,200610,201320.0,04/02/02,09/23/04,881,1572.0
1000.0,375.0,,FFPG,FSEG,199910,200410.0,10/10/03,03/02/06,2849,32625.0
750.0,1000.0,,FFPG,FSEG,199910,200510.0,04/26/98,03/01/01,30757,39779.0
1050.0,250.0,,FFPG,FSEG,200710,201210.0,03/25/03,08/03/04,2781,32445.0
1000.0,2000.0,,FFPG,NAVP,200320,200610.0,12/15/06,09/14/07,1544,30090.0
995.0,500.0,,FFPG,FSEG,200510,200910.0,04/23/98,08/06/99,30554,37913.0
2000.0,600.0,,FFPG,FSEG,199810,200320.0,08/03/04,04/18/07,1361,3139.0
1400.0,500.0,,FFPG,FSEG,200910,200920.0,05/11/03,11/17/05,1363,3139.0
600.0,500.0,,FFPG,FSEG,200510,200810.0,04/16/04,11/10/06,2290,31792.0
1400.0,-250.0,,,,200320,200610.0,12/31/09,04/20/09,1331,3071.0
1130.0,-250.0,,,,200810,201110.0,03/10/04,03/12/98,1131,2788.0
575.0,250.0,,,,199610,199810.0,08/03/04,07/23/08,3139,33159.0
1350.0,600.0,,,,200610,200920.0,10/14/04,05/29/09,2591,32155.0
950.0,125.0,,,,200410,200610.0,10/04/05,10/04/07,30068,34410.0
1800.0,1384.5,,,,199810,199910.0,08/06/99,06/10/04,1196,2836.0
900.0,250.0,,,,200810,201110.0,10/03/05,04/16/14,30587,39115.0
1000.0,500.0,,,,200710,200810.0,06/19/00,07/26/05,3139,33093.0
-437.0,-62.0,,,,199910,200410.0,02/09/09,11/11/08,1476,3147.0
250.0,3588.75,,,,200310,200510.0,01/03/08,11/22/06,2862,32701.0
250.0,167.0,,,,200510,200910.0,08/04/99,02/06/03,691,906.0
1600.0,250.0,,,,200310,200610.0,05/07/03,02/06/13,1483,3412.0
1550.0,1000.0,,,,200120,200310.0,02/06/13,07/17/15,2635,32269.0
1000.0,250.0,,,,200410,200620.0,12/31/09,11/29/07,2124,31392.0
630.0,509.58,,,,199810,200410.0,02/03/03,05/19/05,30468,36510.0
212.0,62.0,,,,200710,200810.0,01/03/08,11/17/10,2836,32592.0
250.0,1500.0,,,,200410,200720.0,07/08/05,10/15/09,1923,30811.0
650.0,31.0,,,,200610,201410.0,10/27/05,12/04/08,1369,3139.0
-2025.0,250.0,,,,200610,200910.0,10/07/05,11/05/13,3139,33253.0
250.0,334.0,,,,200610,200920.0,08/22/05,04/20/14,1366,3139.0
995.0,500.0,,,,199910,200410.0,08/02/05,10/26/11,3139,33159.0
800.0,200.0,,,,201110,201410.0,06/27/01,04/23/98,2291,31817.0
1150.0,450.0,,,,199610,200120.0,12/04/02,12/01/04,200,399.0
1800.0,250.0,,,,200820,200810.0,01/03/08,04/07/11,1556,30117.0
850.0,250.0,,,,200310,200620.0,10/03/05,02/19/09,3286,33594.0
800.0,-312.0,,,,200410,200710.0,03/10/04,02/14/02,906,2290.0
1000.0,750.0,,,,200510,200910.0,03/23/05,01/05/08,2741,32388.0
1650.0,667.0,,,,200610,200920.0,08/06/99,07/15/04,1489,3469.0
850.0,-500.0,,,,200610,200910.0,07/15/04,03/13/07,30117,34532.0
293.0,750.0,,,,199610,199810.0,10/28/04,02/19/09,200,245.0
250.0,500.0,,,,200720,201660.0,02/05/08,10/09/08,625,889.0
1600.0,250.0,,,,200510,200710.0,06/27/01,02/07/03,2788,32529.0
500.0,-79.75,,,,200310,200610.0,07/15/04,03/14/07,30587,39129.0
1050.0,125.0,,,,200610,201210.0,07/27/05,03/29/11,30519,37249.0
1600.0,250.0,,,,199910,200310.0,08/05/99,05/07/03,238,625.0
600.0,300.0,,,,200420,200810.0,04/15/04,09/13/06,2788,32525.0
1095.0,600.0,,,,200410,200610.0,10/26/05,05/16/10,2849,32617.0
-875.0,2000.0,,,,200410,200710.0,10/26/05,11/18/08,30341,36281.0
1200.0,250.0,,,,200510,200810.0,12/06/04,10/03/08,1538,30068.0
375.0,500.0,,,,200410,200810.0,08/05/99,03/27/03,2290,31797.0
300.0,1000.0,,,,199810,199910.0,11/26/97,04/26/98,1196,2849.0
1250.0,250.0,,,,199910,200410.0,06/20/07,06/02/06,3488,34223.0
668.0,250.0,,,,200310,200810.0,08/05/99,06/18/04,3071,32971.0
1050.0,253.5,,,,199810,199910.0,03/27/03,08/09/05,2255,31659.0
600.0,250.0,,,,200420,200810.0,11/16/07,11/08/07,245,689.0
600.0,250.0,,,,200810,201210.0,07/01/04,12/04/08,129,135.0
850.0,-62.0,,,,200810,200910.0,05/07/03,10/04/05,1569,30117.0
600.0,750.0,,,,200310,200610.0,06/10/04,12/07/06,2589,32134.0
600.0,200.0,,,,200410,200810.0,07/21/05,04/27/11,30555,38716.0
625.0,600.0,,,,200620,201420.0,10/10/03,10/03/05,30555,38684.0
360.0,1274.5,,,,200310,201110.0,10/10/03,10/03/05,30117,34571.0
1300.0,398.0,,,,199920,200410.0,03/23/05,10/08/08,1342,3108.0
250.0,750.0,,,,200610,201410.0,10/05/95,10/06/95,30265,35805.0
1175.0,300.0,,,,200510,200710.0,07/21/05,09/02/11,3264,33538.0
250.0,-24786.0,,,,200610,201220.0,10/31/05,11/09/09,30090,34504.0
2000.0,750.0,,,,200510,200910.0,09/20/05,11/01/13,30824,40714.0
2000.0,-62.0,,,,200610,201010.0,03/22/06,05/20/11,30405,36470.0
250.0,167.0,,,,199910,200410.0,10/26/05,08/08/12,1710,30402.0
2155.0,10000.0,,,,200510,200810.0,02/10/98,08/05/99,30338,36275.0
300.0,2000.0,,,,201010,200810.0,08/19/04,06/13/07,626,892.0
750.0,250.0,,,,200320,200710.0,12/03/04,09/29/08,2790,32581.0
-700.0,750.0,,,,200420,200910.0,05/07/03,02/14/11,893,1922.0
350.0,250.0,,,,200410,200610.0,07/10/05,03/08/11,30587,39181.0
900.0,2000.0,,,,200310,200610.0,08/12/04,05/24/07,30669,39757.0
712.0,604.0,,,,200610,201210.0,01/01/08,03/29/11,2112,31254.0
-312.0,500.0,,,,200510,200710.0,05/16/05,12/03/08,1476,3173.0
2025.0,1000.0,,,,200510,200710.0,06/10/04,12/07/06,897,2040.0
1075.0,-150.0,,,,200610,201310.0,06/08/04,12/06/06,30317,35979.0
1750.0,1085.0,,,,200310,200920.0,04/01/03,10/11/04,30397,36313.0
500.0,250.0,,,,200610,201310.0,08/05/99,10/10/03,893,1923.0
600.0,974.0,,,,200610,201420.0,06/19/00,08/04/04,917,2781.0
600.0,750.0,,,,200710,200810.0,11/07/08,01/03/08,30404,36458.0
1000.0,281.0,,,,200510,200810.0,03/23/05,09/25/09,2741,32352.0
750.0,94.0,,,,200610,201610.0,08/04/99,03/26/03,917,2763.0
1650.0,600.0,,,,199610,199810.0,09/23/04,09/20/07,3139,33160.0
1800.0,375.0,,,,200510,200920.0,10/11/04,01/01/08,905,2257.0
1000.0,250.0,,,,200420,200720.0,04/21/09,02/19/09,241,649.0
600.0,300.0,,,,199910,200320.0,05/11/03,11/28/07,625,890.0
400.0,62.0,,,,200510,200920.0,09/09/04,07/12/07,2881,32766.0
600.0,1630.0,,,,200510,200810.0,02/27/06,10/03/12,218,548.0
1500.0,150.0,,,,200810,201670.0,08/06/99,06/29/04,3139,33246.0
1275.0,750.0,,,,200510,200910.0,05/27/04,12/04/08,30500,37091.0
500.0,250.0,,,,199910,200810.0,10/27/06,02/04/10,30538,37558.0
1500.0,600.0,,,,200510,200910.0,10/11/04,02/12/08,3402,33677.0
1100.0,3567.0,,,,199810,200110.0,01/03/08,02/19/09,1541,30081.0
198.0,1500.0,,,,200210,200810.0,06/25/03,06/02/06,2836,32584.0
300.0,150.0,,,,200510,200810.0,10/06/95,01/22/98,916,2741.0
250.0,750.0,,,,200510,200720.0,08/05/99,12/03/04,30811,40531.0
1100.0,1000.0,,,,200110,200510.0,07/28/05,09/20/11,912,2589.0
600.0,300.0,,,,199910,200410.0,12/04/02,11/18/04,3004,32871.0
1530.0,750.0,,,,200920,200910.0,04/08/98,08/05/99,30317,35975.0
950.0,52.0,,,,200610,201210.0,02/10/98,08/05/99,1852,30519.0
250.0,473.44,,,,200720,201510.0,08/05/99,06/25/03,2602,32171.0
750.0,500.0,,,,200820,200810.0,04/23/98,08/06/99,30622,39181.0
-918.0,250.0,,,,200210,200910.0,05/14/03,04/06/05,1277,3004.0
300.0,250.0,,,,200410,200810.0,08/09/05,12/05/11,30409,36488.0
300.0,250.0,,,,200010,200320.0,06/16/04,12/06/06,626,893.0
250.0,375.0,,,,200510,200910.0,01/03/08,12/02/11,135,241.0
250.0,750.0,,,,200610,200920.0,08/05/99,06/08/04,2836,32608.0
350.0,2000.0,,,,199910,200510.0,06/27/01,03/31/98,2864,32701.0
-950.0,125.0,,,,200720,200810.0,06/19/00,07/15/04,2494,31943.0
62.0,773.0,,,,199910,200320.0,01/03/08,05/09/06,1853,30538.0
281.0,-37.0,,,,200410,199810.0,06/24/98,08/05/99,30500,37087.0
875.0,125.0,,,,200920,200830.0,10/14/04,02/19/09,804,1544.0
-62.0,250.0,,,,200920,200810.0,04/08/98,08/05/99,516,765.0
750.0,200.0,,,,200610,201010.0,10/05/95,06/27/01,881,1852.0
-500.0,375.0,,,,200320,200710.0,04/15/04,11/10/06,3067,32884.0
1150.0,250.0,,,,200310,200610.0,08/03/04,04/25/07,30824,41094.0
1000.0,750.0,,,,200610,201310.0,12/09/04,02/19/09,2040,30938.0
150.0,250.0,,,,199810,199610.0,08/06/99,07/14/04,701,911.0
1050.0,1500.0,,,,200710,200920.0,07/14/04,03/16/07,30519,37136.0
1200.0,500.0,,,,200610,201410.0,01/11/06,04/06/13,3139,33159.0
1125.0,250.0,,,,200310,200510.0,12/15/06,09/18/07,2201,31465.0
1650.0,600.0,,,,200310,200710.0,10/05/95,08/24/98,30226,35487.0
750.0,250.0,,,,199810,200210.0,07/15/04,03/12/07,645,895.0
750.0,250.0,,,,200510,200910.0,04/14/98,08/06/99,3147,33504.0
545.0,250.0,,,,200520,200810.0,10/26/04,04/21/09,890,1876.0
1680.0,-1085.0,,,,199810,199920.0,08/14/06,12/04/08,3139,33130.0
300.0,600.0,,,,201010,200910.0,10/06/95,01/26/98,30122,35018.0
1750.0,-375.0,,,,200310,200810.0,08/03/04,04/23/07,899,2090.0
791.0,1000.0,,,,200510,200810.0,05/19/05,05/18/12,620,804.0
600.0,150.0,,,,200420,200720.0,03/15/06,10/05/11,1277,2929.0
600.0,750.0,,,,200410,200610.0,09/24/06,11/30/07,906,2289.0
588.0,-200.0,,,,200510,200810.0,05/03/01,08/03/04,2255,31666.0
-262.0,500.0,,,,200720,201210.0,05/14/03,08/14/06,30080,34429.0
1013.0,500.0,,,,200110,200510.0,06/24/03,06/02/06,1616,30317.0
563.0,125.0,,,,200610,201410.0,03/26/03,10/14/04,30624,39405.0
500.0,600.0,,,,200410,200810.0,08/17/04,06/05/07,1196,2849.0
1125.0,500.0,,,,200520,200510.0,02/06/98,06/27/01,1922,30806.0
-960.0,600.0,,,,200910,200810.0,03/12/98,08/05/99,30068,34424.0
1650.0,28686.0,,,,200610,201210.0,02/14/11,03/03/14,3067,32884.0
2000.0,250.0,,,,200610,201210.0,07/26/05,05/16/07,2781,32461.0
1050.0,-167.0,,,,200810,201210.0,08/04/99,10/10/03,715,917.0
1420.0,563.0,,,,199820,199910.0,08/05/99,10/10/03,2496,32082.0
1425.0,600.0,,,,200520,200710.0,02/18/09,01/01/08,241,645.0
500.0,666.0,,,,200610,201210.0,08/03/04,01/01/08,2786,32493.0
250.0,500.0,,,,199910,200310.0,01/03/08,11/11/10,2704,32269.0
1750.0,167.0,,,,200510,200810.0,03/22/06,11/09/09,762,1196.0
225.0,-187.0,,,,200310,201320.0,05/11/03,10/13/05,1538,30037.0
1000.0,1274.5,,,,199810,200310.0,06/25/03,11/16/05,2059,31084.0
1300.0,2000.0,,,,200610,201410.0,01/03/08,11/22/06,2875,32740.0
1175.0,300.0,,,,200510,200810.0,10/11/04,06/20/07,30624,39305.0
250.0,500.0,,,,200310,200610.0,10/27/06,02/04/10,30229,35805.0
975.0,600.0,,,,200610,201110.0,07/26/06,03/06/08,1911,30587.0
725.0,600.0,,,,200210,200820.0,05/24/04,07/26/06,1225,2881.0
-1100.0,62.0,,,,200110,200510.0,04/17/04,09/28/06,30824,42714.0
1550.0,250.0,,,,200510,200810.0,06/29/05,11/02/10,3139,33220.0
250.0,188.0,,,,200310,200610.0,06/19/00,08/04/04,2790,32559.0
750.0,600.0,,,,200510,200910.0,06/25/03,01/31/06,1134,2790.0
600.0,250.0,,,,200610,201610.0,11/16/07,11/08/07,30081,34429.0
375.0,750.0,,,,200310,200610.0,01/04/05,01/03/08,709,914.0
250.0,1250.0,,,,200310,200610.0,08/06/99,06/08/04,30108,34518.0
700.0,-3588.75,,,,200110,200510.0,08/05/99,06/25/03,30485,37086.0
1175.0,600.0,,,,200310,200510.0,07/15/04,05/08/09,1569,30117.0
1075.0,1000.0,,,,200110,199810.0,06/25/03,11/11/05,30217,35479.0
200.0,500.0,,,,199910,200410.0,02/15/02,01/04/05,3412,33699.0
1650.0,-375.0,,,,200810,201110.0,06/09/04,12/07/06,1196,2836.0
1000.0,750.0,,,,200610,201402.0,10/14/05,07/14/15,30081,34465.0
900.0,750.0,,,,200510,200920.0,01/03/08,03/09/11,3264,33538.0
-1350.0,600.0,,,,200310,200610.0,01/03/08,06/06/06,30065,34325.0
1150.0,187.0,,,,199910,200510.0,09/09/04,09/14/07,1538,30068.0
750.0,1000.0,,,,200210,200720.0,10/03/05,08/31/11,910,2496.0
550.0,62.0,,,,200510,200810.0,06/27/01,04/08/98,3573,34306.0
1100.0,-250.0,,,,200610,200810.0,02/15/02,02/18/09,30484,36940.0
300.0,1000.0,,,,200610,201210.0,08/04/04,04/27/07,913,2635.0
1000.0,250.0,,,,200510,200710.0,12/31/09,02/19/09,3469,34105.0
580.0,-157.0,,,,200610,201210.0,12/04/06,03/10/04,30521,37385.0
2500.0,500.0,,,,200410,200610.0,11/23/04,02/19/09,781,1366.0
250.0,1000.0,,,,199910,200510.0,03/22/06,01/05/08,2635,32172.0
500.0,600.0,,,,200510,200810.0,10/26/04,02/19/09,2113,31390.0
1225.0,-62.0,,,,200610,200810.0,08/09/04,05/24/07,399,706.0
850.0,750.0,,,,200510,200810.0,09/27/05,04/06/13,881,1572.0
1350.0,250.0,,,,200310,200510.0,08/18/04,01/03/08,30007,34317.0
1500.0,397.0,,,,200610,201610.0,08/10/05,12/21/11,3139,33220.0
750.0,94.0,,,,200310,200610.0,10/06/05,04/02/07,30117,34520.0
875.0,1250.0,,,,200410,200710.0,09/19/00,07/15/04,1455,3143.0
600.0,250.0,,,,200310,200610.0,10/04/05,11/19/12,407,759.0
1250.0,4500.0,,,,200610,201310.0,10/05/95,02/24/98,1572,30217.0
1975.0,198.0,,,,200810,201110.0,08/05/99,04/15/04,884,1853.0
500.0,-200.0,,,,200510,200810.0,10/31/05,12/03/08,918,2781.0
,,,,,200620,201110.0,10/03/05,10/21/08,30806,39822.0
,,,,,200610,200910.0,10/05/95,06/19/97,3139,33130.0
,,,,,200810,200910.0,06/11/07,10/13/15,30144,35479.0
,,,,,200610,201110.0,08/09/04,05/24/07,30408,36488.0
,,,,,200510,200810.0,02/21/10,05/16/10,2230,31555.0
,,,,,200510,200910.0,08/03/04,01/01/08,701,910.0
,,,,,199810,199910.0,12/11/07,12/05/08,30679,39758.0
,,,,,200610,201310.0,08/04/99,05/14/03,2056,30956.0
,,,,,200510,200920.0,08/04/04,04/27/07,30806,39874.0
,,,,,200410,200910.0,08/05/99,04/16/04,30824,40910.0
,,,,,200610,201310.0,10/21/02,10/26/05,2257,31712.0
,,,,,200810,201210.0,07/06/04,11/10/04,30806,40530.0
,,,,,199910,200420.0,08/05/04,05/04/07,3062,32882.0
,,,,,199920,200310.0,01/03/08,11/17/10,915,2728.0
,,,,,199910,200310.0,08/05/99,06/10/04,2788,32511.0
,,,,,200310,200720.0,03/27/03,01/29/06,30538,37560.0
,,,,,199910,200310.0,08/05/99,05/11/03,1923,30824.0
,,,,,199810,200110.0,02/07/03,09/18/05,944,2788.0
,,,,,200610,201110.0,03/10/04,02/15/02,3143,33501.0
,,,,,200410,200710.0,11/24/07,11/09/07,1876,30555.0
,,,,,200510,200810.0,01/03/08,11/17/10,912,2591.0
,,,,,199610,199810.0,08/05/99,05/07/03,30824,40910.0
,,,,,,,04/16/04,08/18/06,1363,3139.0
,,,,,,,11/17/05,02/12/16,2292,31866.0
,,,,,,,11/18/04,02/19/09,3402,33677.0
,,,,,,,09/08/04,01/01/08,1541,30080.0
,,,,,,,09/16/05,11/01/13,3147,33515.0
,,,,,,,11/28/07,10/13/15,892,1878.0
,,,,,,,08/24/98,08/05/99,30317,35950.0
,,,,,,,10/10/03,11/29/06,30068,34361.0
,,,,,,,05/16/05,12/04/08,521,765.0
,,,,,,,10/14/05,11/05/13,1556,30117.0
,,,,,,,07/15/04,03/13/07,765,1331.0
,,,,,,,10/05/95,10/06/95,915,2740.0
,,,,,,,01/03/08,04/06/13,30831,49447.0
,,,,,,,10/06/95,02/06/98,30500,37087.0
,,,,,,,05/03/01,08/03/04,901,2112.0
,,,,,,,08/01/04,04/04/07,898,2058.0
,,,,,,,,,2635,32172.0
,,,,,,,,,2740,32345.0
,,,,,,,,,1927,30824.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
